postsyn_consensus_list,presyn_consensus
EZR,NCAM1
FAM81A,NCAM2
FARSA,NCKAP1
FARSB,NCOA2
FASN,NCS1
FXR2,NDEL1
G3BP2,NDRG2
GABARAPL2,NDRG3
GABBR1,NDUFS2
GDI1,NECTIN1
GDI2,NEFL
GIPC1,NEFM
GIT1,NEGR1
GJA1,NGF
GNA11,NISCH
GNA13,NLGN1
GNAI1,NLGN2
GNAQ,NMU
GNG3,NOS1
GNG7,NOS1AP
GPD2,NPFF
GPHN,NPY
GPM6A,NPY1R
GRM2,NR3C2
HNRNPA1,NRXN2
HNRNPK,NRXN3
HNRNPM,NSF
HOMER2,NTF3
HPCA,NTF5
HSD17B12,NTNG1
HSP90AA1,NTNG2
HSP90AB1,NTRK2
HSPA2,NTS
HSPH1,NTSR1
HTT,NUFIP1
ICAM5,OPHN1
IQSEC3,OPN1SW
ITSN1,OPRD1
JUP,OPRK1
KBTBD11,OPRM1
LANCL2,OTOF
LASP1,OXT
LETM1,P2RX1
LRRC47,P2RX2
LY6H,P2RX3
MAGI2,P2RX4
MAOA,P2RY1
MAOB,P2RY2
MAPK3,P2RY4
MAPK8IP3,PACSIN1
MAPRE2,PBP2
MAPRE3,PCDH1
MLF2,PCDH17
MPP6,PCDH7
MT-CO2,PCLO
MTCH1,PDE4B
MTCH2,PDXK
MYH9,PDYN
MYL6,PEBP1
MYO18A,PEF1
MYO6,PENK
NAPA,PFN1
NAPB,PGR
NAPG,PHB
NCAN,PHB2
NCKIPSD,PI4K2A
NDUFA5,PICALM
NDUFA7,PICK1
NDUFA9,PINK1
NDUFB10,PIP5K1C
NDUFS2,PLEKHG5
NDUFS7,PLEKHH3
NDUFV1,PLXNA4
NDUFV2,PLXNB2
NF1,PNMT
NIPSNAP1,PNOC
NLGN2,POLG
NME1,PPFIA2
NPTX1,PPFIA3
NTRK2,PPFIA4
NUMBL,PPFIBP2
OGDH,PPP1CA
OMG,PPP1CC
OPA1,PPP2CA
OXCT1,PPP2R5E
PACS1,PPP3CC
PACSIN1,PPT1
PAK1,PRKACA
PCBP1,PRKAR1B
PCBP2,PRKAR2A
PDIA3,PRKCA
PDXK,PRKCB
PFKL,PRKCE
PFKM,PRKCG
PFKP,PRKN
PHB,PRPH
PHGDH,PRRT2
PIN1,PRSS12
PIP4K2B,PSEN1
PIP5K1C,PSEN2
PKP4,PSENEN
PPFIA3,PSMA2
PPP1CB,PSMA7
PPP1R7,PSMC1
PPP1R9A,PSMD12
PPP2CA,PTN
PPP3CB,PTP4A2
PRDX5,PTPN5
PRKAR1A,PTPRD
PRKCA,PTPRN
PRRT1,PTPRN2
PSD,PTPRS
PSD3,RAB12
PYGB,RAB15
