postsyn_consensus_list,presyn_consensus
ATP5PO,NA
ATP5S,NA
ATP8B1,NA
ATPAF1,NA
ATXN2L,NA
AU040829,NA
AVPI1,NA
AW209491,NA
AXIN1,NA
AZI2,NA
B4GAT1,NA
BAD,NA
BAG2,NA
BAHCC1,NA
BAI2,NA
BAIAP3,NA
BAT3,NA
BAT5,NA
BAZ1A,NA
BAZ1B,NA
BBS4,NA
BBS7,NA
BCAM,NA
BCAT1,NA
BCAT2,NA
BCKDHB,NA
BCL11A,NA
BCOR,NA
BDP1,NA
BGN,NA
BICD1,NA
BLMH,NA
BLNK,NA
BM948371,NA
BMPR1A,NA
BNIP3,NA
BNIP3L,NA
BOLA1,NA
BPNT1,NA
BRCA2,NA
BRD9,NA
BRIP1,NA
BRMS1L,NA
BRP44,NA
BRP44L,NA
BRWD1,NA
BSCL2,NA
BZW1,NA
C10orf35,NA
C11orf2,NA
C11orf59,NA
C12orf57,NA
C14orf156,NA
C14orf166,NA
C16orf62,NA
C16orf96,NA
C17orf61,NA
C1orf198,NA
C1orf95,NA
C1orf96,NA
C1QA,NA
C1QB,NA
C1QTNF4,NA
C21orf33,NA
C2CD2,NA
C2CD4CC2CD4,NA
C2orf47,NA
C2orf55,NA
C2orf72,NA
C4B,NA
C6orf134,NA
C6orf136,NA
C6orf154,NA
C8orf55,NA
C920006C10Rik,NA
C9orf126,NA
C9orf172,NA
C9orf46,NA
C9orf5,NA
CACNB2,NA
CACNG4,NA
CACNG5,NA
CALD1,NA
CALM1 ,NA
CALML3,NA
CALML5,NA
CAMK2N1,NA
CAMK4,NA
CAMLG,NA
CAMSAP1,NA
CAMSAP2,NA
CAR2,NA
CARD11,NA
CARHSP1,NA
CARMIL1,NA
CARNS1,NA
CARS,NA
CASC4,NA
CASD1,NA
CAST,NA
CASZ1,NA
CAV1,NA
CBLN1,NA
CBR4,NA
CCAR2,NA
CCBL2,NA
CCDC109A,NA
CCDC110,NA
CCDC132,NA
CCDC136,NA
CCDC150,NA
CCDC158,NA
CCDC171,NA
CCDC175,NA
CCDC177,NA
CCDC18,NA
CCDC186,NA
CCDC30,NA
CCDC39,NA
CCDC47,NA
CCDC51,NA
CCDC85B,NA
CCDC88A,NA
CCDC88B,NA
CCDC88C,NA
CCDC92,NA
CCHCR1,NA
CCNG2,NA
CCP110,NA
CCSAP,NA
CD109,NA
CD151,NA
CD200,NA
CD82,NA
CD99L2,NA
CDC37,NA
CDC42BPG,NA
CDH12,NA
CDH23,NA
CDH8,NA
CDIP1,NA
CDK12,NA
CDK13,NA
CDK17,NA
CDK5R2,NA
CDK5RAP2,NA
CDK9,NA
CDKL2,NA
CELSR1,NA
CELSR3,NA
CEMIP2,NA
CENPJ,NA
CEP126,NA
CEP131,NA
CEP135,NA
CEP152,NA
CEP162,NA
CEP170L,NA
CEP250,NA
CEP290,NA
CEP295NL,NA
CEP85,NA
CERS1,NA
CFAP57,NA
CFTR,NA
CHCHD2,NA
CHCHD4,NA
CHD1,NA
CHD4,NA
CHD7,NA
CHD8,NA
CHDH,NA
CHID1,NA
CHM,NA
CHMP1B,NA
CHMP1B2,NA
CHMP5,NA
CHMP7,NA
CHN1,NA
CHRM1,NA
CHRM4,NA
CHRNA3,NA
CHRNA7,NA
CHTOP,NA
CHUK,NA
CIAO1,NA
CIDEB,NA
CIITA,NA
CIP2A,NA
CIRBP,NA
CISD2,NA
CISD3,NA
CKMT1,NA
CKMT1A,NA
CKMT2,NA
CLCN2,NA
CLCN4,NA
CLCN7,NA
CLDN12,NA
CLEC2L,NA
CLIC4,NA
CLINT1,NA
CLPB,NA
CLPP,NA
CLSTN2,NA
CLVS1,NA
CMPK2,NA
CMTM5,NA
CNN1,NA
CNNM2,NA
CNNM3,NA
CNNM4,NA
CNPY2,NA
CNPY3,NA
CNTLN,NA
CNTN3,NA
CNTN4,NA
CNTN6,NA
CNTNAP4,NA
CNTNAP5A,NA
CNTRL,NA
COA3,NA
COA7,NA
COG5,NA
COL11A2,NA
COL16A1,NA
COL18A1,NA
COL1A1,NA
COL1A2,NA
COL4A1,NA
COL4A2,NA
COL6A1,NA
COL6A2,NA
COL6A3,NA
COL6A4,NA
COL6A6,NA
COPG1,NA
COPS6,NA
COPS7A,NA
COPS7B,NA
COPS8,NA
COQ3,NA
COQ9,NA
CORO7,NA
COTL1,NA
CP,NA
CPD,NA
CPEB1,NA
CPLANE1,NA
CPLX1,NA
CPLX2,NA
CPM,NA
CPNE8,NA
CPPED1,NA
CPSF6,NA
CPT1C,NA
CR1L,NA
CRK,NA
CROCC,NA
CRTC1,NA
CRYL1,NA
CRYZL1,NA
CSF1R,NA
CSK,NA
CSMD1,NA
CSMD2,NA
CSMD3,NA
CSNK1G1,NA
CSPG4,NA
CSTB,NA
CTAGE5,NA
CTPS1,NA
CTSB,NA
CTSD,NA
CTSZ,NA
CUBN,NA
CUL1,NA
CUL4A,NA
CUL4B,NA
CUL7,NA
CUX2,NA
CWF19L2,NA
CYGB,NA
CYP1B1,NA
CYP2D22,NA
CYP51,NA
CYTH1,NA
D10JHU81E,NA
D15Wsu169e,NA
D1PAS1,NA
D3Bwg0562e,NA
D430041B17Rik,NA
D430042O09RIK,NA
DAB1,NA
DACT3,NA
DAG1,NA
DAP3,NA
DAPK1,NA
DAPK3,NA
DARS2,NA
DBI,NA
DCAF4,NA
DCAF7,NA
DCTN5,NA
DCUN1D1,NA
DCXR,NA
DDAH2,NA
DDC,NA
DDT,NA
DDX10,NA
DDX19A,NA
DDX39A,NA
DEFA3,NA
DENND1A,NA
DENND4C,NA
DENND5B,NA
DENR,NA
DEUP1,NA
DGCR8,NA
DGKI,NA
DGKQ,NA
DGUOK,NA
DHCR7,NA
DHDH,NA
DHRS1,NA
DHRS7,NA
DHX36,NA
DHX57,NA
DIAPH3,NA
DIP2C,NA
DIS3L,NA
DISC1,NA
DISP2,NA
DLG5,NA
DMXL1,NA
DNAH17,NA
DNAH2,NA
DNAH3,NA
DNAH5,NA
DNAH8,NA
DNAJA4,NA
DNAJB12,NA
DNAJB14,NA
DNAJB5,NA
DNAJB7,NA
DNAJC16,NA
DNAJC2,NA
DNER,NA
DNMT1,NA
DOCK11,NA
DOCK6,NA
DOCK7,NA
DOCK8,NA
DOK6,NA
DOP1B,NA
DOS,NA
DPM3,NA
DRC7,NA
DRD2,NA
DRD3,NA
DRD5,NA
DROSHA,NA
DSCAM,NA
DSCR3,NA
DSG1,NA
DSG1A,NA
DSG4,NA
DTNB,NA
DTNBP1,NA
DTX3,NA
DTYMK,NA
DUSP10,NA
DUSP15,NA
DUSP4,NA
DVL1,NA
DYNC2H1,NA
DYSF,NA
ECHS1,NA
ECM29,NA
ECPAS,NA
EDF1,NA
EEF1B,NA
EEF1E1,NA
EEF2K,NA
EFCAB6,NA
EFNB1,NA
EFNB3,NA
EG433182,NA
EGLN1,NA
EHD2,NA
EHMT2,NA
EIF1,NA
EIF1;EIF1B,NA
EIF1A,NA
EIF1AX,NA
EIF2B3,NA
EIF2B4,NA
EIF2S2,NA
EIF2S3Y,NA
EIF3B,NA
EIF3F,NA
EIF3I,NA
EIF3J1,NA
EIF3J2,NA
EIF4A3,NA
EIF4E2,NA
EIF4G3,NA
EIF5,NA
EIF5A2,NA
EIF6,NA
EIPR1,NA
ELAVL1,NA
ELAVL2,NA
ELAVL3,NA
ELOB,NA
ELP1,NA
EMC3,NA
EMC6,NA
EMC7,NA
EMILIN1,NA
EML1,NA
EML2,NA
EML5,NA
EML6,NA
ENDOU,NA
ENO1B,NA
ENOPH1,NA
ENPP2,NA
ENSA,NA
ENTPD1,NA
EP300,NA
EP400,NA
EPB41L4B,NA
EPG5,NA
EPHA2,NA
EPHA5,NA
EPHA8,NA
EPHB1,NA
EPHB4,NA
EPHX1,NA
EPHX2,NA
EPHX4,NA
ERCC6L,NA
ERI3,NA
ERMP1,NA
ERO1A,NA
ERO1L,NA
ERP29,NA
ESD,NA
ESPL1,NA
ESPN,NA
ETHE1,NA
ETL4,NA
EVA1A,NA
EVPL,NA
EXD2,NA
EXPH5,NA
EXT2,NA
F10,NA
F2RL1,NA
F2RL3,NA
F3,NA
F5,NA
F8,NA
F8A,NA
F8A1,NA
FAHD2,NA
FAHD2A,NA
FAIM2,NA
FAM10A5,NA
FAM120C,NA
FAM124B,NA
FAM126A,NA
FAM127A,NA
FAM135B,NA
FAM136A,NA
FAM148C,NA
FAM163A,NA
FAM163B,NA
FAM177A,NA
FAM177A1,NA
FAM184B,NA
FAM208B,NA
FAM209,NA
FAM20B,NA
FAM210A,NA
FAM210B,NA
FAM234B,NA
FAM241B,NA
FAM38A,NA
FAM40B,NA
FAM5B,NA
FAM62A,NA
FAM62B,NA
FAM69B,NA
FAM98B,NA
FAN1,NA
FANCD2,NA
FANCI,NA
FAR1,NA
FAT2,NA
FAT3,NA
FAT4,NA
FAU,NA
FBL,NA
FBXL15,NA
FBXL18,NA
FBXO31,NA
FBXO45,NA
FBXO7,NA
FBXW10,NA
FERMT1,NA
FGA,NA
FGD1,NA
FGD2,NA
FGD4,NA
FGF12,NA
FGFR1OP2,NA
FH1,NA
FHAD1,NA
FHL2,NA
FHOD3,NA
FIBCD1,NA
FIG4,NA
FILIP1L,NA
FKBP1A,NA
FLNC,NA
FLRT3,NA
FLT4,NA
FMN1,NA
FN3KRP,NA
FNBP1,NA
FOLH1,NA
FRAS1,NA
FREM1,NA
FREM2,NA
FRMD4A,NA
FRMD4B,NA
FRMD7,NA
FRMPD1,NA
FRMPD3,NA
FRMPD4,NA
FSD1L,NA
FSIP2,NA
FTL1,NA
FUBP1,NA
FUNDC1,NA
FUNDC2,NA
FUT8,NA
FUT9,NA
FXYD1,NA
FXYD6,NA
FYB,NA
G3BP1,NA
G6PDX,NA
GABRA5,NA
GALC,NA
GALK2,NA
GALNT17,NA
GALNT2,NA
GAPDHS,NA
GARNL1,NA
GATD1,NA
GBE1,NA
GBP3,NA
GCA,NA
GCAT,NA
GCC1,NA
GCFC2,NA
GCN1L1,NA
GCNT4,NA
Gcs1,NA
GDPGP1,NA
GEMIN5,NA
GFM1,NA
GFM2,NA
GFOD1,NA
GFRA1,NA
GGCT,NA
GGNBP1,NA
GID8,NA
GIGYF1,NA
GJB6,NA
GJC2,NA
GK;GK3P,NA
GLDC,NA
GLO1,NA
GLRX,NA
GLRX3,NA
GLRX5,NA
GLS2,NA
GLTP,NA
GM10020,NA
GM10031,NA
GM10036,NA
GM10053,NA
GM10250,NA
GM10260,NA
GM10263,NA
GM10269,NA
GM10273,NA
GM10320,NA
GM11214,NA
GM15013,NA
GM15800,NA
GM17541,NA
GM18025,NA
GM1840,NA
GM2000,NA
GM20388,NA
GM20390,NA
GM20425,NA
GM20431,NA
GM20441,NA
GM20498,NA
GM28035,NA
GM28062,NA
GM28635,NA
GM3839,NA
GM4070,NA
GM42957,NA
GM43738,NA
GM43796,NA
GM5093,NA
GM5422,NA
GM5580,NA
GM5611,NA
GM5612,NA
GM5786,NA
GM6525,NA
GM6576,NA
GM6793,NA
GM7293,NA
GM7808,NA
GM7964,NA
GM8394,NA
GM8730,NA
GM8797,NA
GM8994,NA
GM9242,NA
GM9493,NA
GM9755,NA
GM9774,NA
GM9833,NA
GMFB,NA
GMPPB,NA
GMPR,NA
GNA12,NA
GNAL,NA
GNAT3,NA
GNB3,NA
GNG13,NA
GNL3,NA
GNPDA2,NA
GOLGA1,NA
GOLGA4,NA
GOLGA5,NA
GOLGA7,NA
GOLM1,NA
GOLPH3,NA
GOPC,NA
GOSR2,NA
GPATCH8,NA
GPC4,NA
GPC5,NA
GPD1,NA
GPER1,NA
GPI1,NA
GPR85,NA
GPRASP1,NA
GPRASP2,NA
GPS1,NA
GRAMD1B,NA
GRAMD4,NA
GRB10,NA
GRCC10,NA
GREB1L,NA
GRID2IP,NA
GRIK1,NA
GRIK3,NA
GRIK4,NA
GRIN3A,NA
GRIN3B,NA
GRM8,NA
GRSF1,NA
GSG1L,NA
GSPT1,NA
GSPT2,NA
GSTA4,NA
GSTM6,NA
GSTP2,NA
GSTZ1,NA
GTDC2,NA
GTF2I,NA
GTF3C1,NA
GTPBP2,NA
GUCY1B1,NA
GUCY2E,NA
GULO,NA
GYS1,NA
H2AFV,NA
H2AFX,NA
H3F3A,NA
H3F3C,NA
HABP4,NA
HACD2,NA
HAX1,NA
HBA,NA
HBA-A2,NA
HBA1,NA
HBB-B1,NA
HBB-BS,NA
HBBT1,NA
HC,NA
HCCS,NA
HCFC1,NA
HDAC11,NA
HDGF,NA
HDGFRP3,NA
HDHD3,NA
HEATR9,NA
HEBP1,NA
HECTD1,NA
HECTD4,NA
HELQ,NA
HELZ,NA
HELZ2,NA
HERC2,NA
HIBADH,NA
HINT2,NA
HINT3,NA
HIPK4,NA
HIST1H1A,NA
HIST1H1B,NA
HIST1H2AE,NA
HIST1H2AJ,NA
HIST1H2BB,NA
HIST1H2BM,NA
HIST1H4B,NA
HIST1H4C,NA
HIST1H4D,NA
HIST1H4F,NA
HIST1H4H,NA
HIST1H4I,NA
HIST1H4J,NA
HIST1H4K,NA
HIST1H4M,NA
HIST1H4N,NA
HIST2H2BE,NA
HIST2H3PS2,NA
HIST2H4,NA
HIST4H4,NA
HIVEP2,NA
HIVEP3,NA
HK2,NA
HKDC1,NA
HMCN2,NA
HMGB2,NA
HMGCL,NA
HMMR,NA
HNRNPAB,NA
HNRNPDL,NA
HNRNPF,NA
HNRNPUL2,NA
HNRPDL,NA
Hnt,NA
HOOK1,NA
HPRT,NA
HPRT1,NA
HRSP12,NA
HS2ST1,NA
HSBP1,NA
HSD17B11,NA
HSF4,NA
HSP90AB2P,NA
HSPB11,NA
HTRA2,NA
HUNK,NA
HYDIN,NA
IBA57,NA
IDE,NA
IDI1,NA
IFFO1,NA
IFNGR1,NA
IFT172,NA
IFT27,NA
IGBP1,NA
IGF2R,NA
IGFN1,NA
IGHA1,NA
IGHG1,NA
IGHG3,NA
IGHM,NA
IGKC,NA
IGLC3,NA
IGLON5,NA
IGSF10,NA
IGSF3,NA
IGSF5,NA
IGSF9B,NA
IL1R1,NA
IL1RAP,NA
ILVBL,NA
IMPACT,NA
IMPDH2,NA
ING4,NA
ING5,NA
INO80,NA
INPP1,NA
INPP5A,NA
INPP5J,NA
INPPL1,NA
INSR,NA
INSYN1,NA
INSYN2A,NA
IPO4,NA
IQCA,NA
IQCB1,NA
IRGM1,NA
IRS1,NA
ISCA1,NA
ISCA2,NA
ISLR2,NA
ISOC2A,NA
ISYNA1,NA
ITCH,NA
ITGA6,NA
ITGA8,NA
ITGAX,NA
ITGB4,NA
ITGB8,NA
ITIH1,NA
ITIH4,NA
ITPR2,NA
ITPR3,NA
ITPRID1,NA
JAGN1,NA
JAKMIP1,NA
JAKMIP2,NA
JAKMIP3,NA
JAM2,NA
JCAD,NA
JMJD1C,NA
JPH4,NA
KAT2A,NA
KCNA6,NA
KCNB2,NA
KCNC1,NA
KCNC2,NA
KCNC3,NA
KCND3,NA
KCNH7,NA
KCNIP2,NA
KCNIP3,NA
KCNIP4,NA
KCNJ16,NA
KCNK1,NA
KCNN2,NA
KCNQ3,NA
KCNQ5,NA
KCNS1,NA
KCNT1,NA
KCTD10,NA
KCTD11,NA
KCTD3,NA
KCTD4,NA
KDM2A,NA
KDM2B,NA
KDM3A,NA
KDM5A,NA
KDM5B,NA
KDM5C,NA
KDM5D,NA
KEL,NA
KHDRBS3,NA
KIAA1107,NA
KIAA1211L,NA
KIAA1467,NA
KIAA1671,NA
KIAA1967,NA
KIDINS220,NA
KIF11,NA
KIF13B,NA
KIF15,NA
KIF16B,NA
KIF17,NA
KIF1C,NA
KIF23,NA
KIF27,NA
KIF3B,NA
KIF3B;KIF3C,NA
KIF3C,NA
KIFC3,NA
KIRREL3,NA
KIZ,NA
KLHL1,NA
KLHL10,NA
KLHL17,NA
KMT2A,NA
KMT2B,NA
KMT2D,NA
KNDC1,NA
KNL1,NA
KNTC1,NA
KPNA4,NA
KPNA6,NA
KRT13,NA
KRT18,NA
KRT19,NA
KRT20,NA
KRT222,NA
KRT24,NA
KRT31,NA
KRT33B,NA
KRT36,NA
KRT4,NA
KRT40,NA
KRT42,NA
KRT7,NA
KRT71,NA
KRT72,NA
KRT73,NA
KRT75,NA
KRT76,NA
KRT77,NA
KRT79,NA
KRT81,NA
KRT82,NA
KRT84,NA
KRT87,NA
KYAT3,NA
L2HGDH,NA
LAMA1,NA
LAMA2,NA
LAMA3,NA
LAMA5,NA
LAMB1,NA
LAMB2,NA
LAMC3,NA
LAMP2,NA
LAMP5,NA
LAMTOR3,NA
LAMTOR4,NA
LAMTOR5,NA
LARS,NA
LCK,NA
LCMT1,NA
LDHD,NA
LIG4,NA
LIME1,NA
LIMK1,NA
LMAN1,NA
LMAN2L,NA
LMBRD1,NA
LMBRD2,NA
LNPK,NA
LOXHD1,NA
LPGAT1,NA
LRIG2,NA
LRP8,NA
LRRC15,NA
LRRC16A,NA
LRRC4,NA
LRRC73,NA
LRRC8C,NA
LRRC8D,NA
LRRC8E,NA
LRRC9,NA
LRRFIP1,NA
LRRK1,NA
LRRK2,NA
LSM11,NA
LSM12,NA
LSM4,NA
LTA4H,NA
LTBP4,NA
LUC7L2,NA
LUZP1,NA
LXN,NA
LYPLA1,NA
LYZ1,NA
LYZ2,NA
LZTFL1,NA
LZTR1,NA
LZTS2,NA
MAATS1,NA
MAEA,NA
MAGED2,NA
MAGEF1,NA
MAGI3,NA
MAGOH,NA
MAGOHB,NA
MAIP1,NA
MAL2,NA
MAN1A2,NA
MANF,NA
MAP10,NA
MAP2K3,NA
MAP3K10,NA
MAP3K12,NA
MAP3K15,NA
MAP3K21,NA
MAP3K4,NA
MAP3K7,NA
MAP4K4,NA
MAP7,NA
MAP9,NA
MAPK15,NA
MAPK8IP1,NA
MAPK8IP2,NA
MAPK9,NA
MARK3,NA
MAST4,NA
MAT2B,NA
MCAT,NA
MCM7,NA
MCOLN2,NA
MCTP2,NA
MCTS1,NA
MDGA2,NA
MDP1,NA
ME2,NA
MED12,NA
MED12L,NA
MED13,NA
MEFV,NA
MESDC2,NA
MEST,NA
MET,NA
METHIG1,NA
METTL7A,NA
METTL7A1,NA
METTL7A2,NA
MFGE8,NA
MFN1,NA
MFSD6,NA
MGA,NA
MGRN1,NA
MIA3,NA
MIB1,NA
MIB2,NA
MIC13,NA
MIEN1,NA
MINA,NA
MINOS1,NA
MIR132,NA
MIR134,NA
MIR99A,NA
MKL2,NA
MLF1,NA
MLST8,NA
MLYCD,NA
MMAB,NA
MMGT1,NA
MMP17,NA
MMS19,NA
MOB1A,NA
MOB1B,NA
MOB2,NA
MOB4,NA
MOCS3,NA
MON2,NA
MPDU1,NA
MPHOSPH8,NA
MPI,NA
MPST,NA
MPV17,NA
MROH1,NA
MROH2A,NA
MROH2B,NA
MRPL12,NA
MRPL17,NA
MRPL23,NA
MRPL38,NA
MRPL39,NA
MRPL46,NA
MRPS18B,NA
MRPS25,NA
MRPS31,NA
MRPS34,NA
MSI2,NA
MSL3,NA
MSRA,NA
MT-CO1,NA
MT-CO3,NA
MT-CYB,NA
MT-ND3,NA
MTATP8,NA
MTCL1,NA
MTCO1,NA
MTCO2,NA
MTFP1,NA
MTMR14,NA
MTMR4,NA
MTMR9,NA
MTND1,NA
MTND2,NA
MTND3,NA
MTND4,NA
MTND5,NA
MTPN,NA
MTTP,NA
MTUS2,NA
MUP1,NA
MUP10,NA
MUP11,NA
MUP13,NA
MUP14,NA
MUP15,NA
MUP17,NA
MUP18,NA
MUP19,NA
MUP2,NA
MUP4,NA
MUP5,NA
MUP6,NA
MUP7,NA
MUP8,NA
MUP9,NA
MVB12B,NA
MYBPC2,NA
MYD88,NA
MYDGF,NA
MYH1,NA
MYH3,NA
MYH4,NA
MYH7,NA
MYH7B,NA
MYH8,NA
MYL12A,NA
MYL12B,NA
MYL4,NA
MYL9,NA
Mylc2b,NA
MYLK2,NA
MYO10,NA
MYO15,NA
MYO16,NA
MYO3B,NA
MYO5C,NA
MYO7A,NA
MYO7B,NA
MYOF,NA
MYOM1,NA
MYPN,NA
MYRF,NA
N4BP1,NA
N4BP3,NA
NAA15,NA
NAA25,NA
NAGK,NA
NAIP2,NA
NAMPT,NA
NANS,NA
NAT10,NA
NAT14,NA
NAV1,NA
NBAS,NA
NCBP3,NA
NCOA7,NA
NCOR2,NA
NCS1,NA
NDRG4,NA
NDST1,NA
NDUFA3,NA
NDUFAF2,NA
NDUFAF6,NA
NDUFB2,NA
NDUFV3,NA
NECTIN1,NA
NECTIN3,NA
NEK1,NA
NES,NA
NET1,NA
NEU4,NA
NEURL1A,NA
NFKBIE,NA
NGFR,NA
NHSL1,NA
NIF3L1,NA
NIN,NA
NINL,NA
NIPBL,NA
NIPSNAP3A,NA
NISCH,NA
NKAIN4,NA
NKIRAS1,NA
NLK,NA
NLN,NA
NLRC3,NA
NLRC5,NA
NLRP10,NA
NLRP9B,NA
NLRX1,NA
NOL3,NA
NOMO2,NA
NOS1AP,NA
NOS3,NA
NPCD,NA
NPHP3,NA
NPHS1,NA
NPLOC4,NA
NPR1,NA
NPTXR,NA
NR3C1,NA
NR3C2,NA
NRAP,NA
NRBP1,NA
NRBP2,NA
NRIP1,NA
NRP1,NA
NRXN2,NA
NSDHL,NA
NSG2,NA
NT5C,NA
NT5C2,NA
NT5M,NA
NTNG2,NA
NUB1,NA
NUDT11,NA
NUDT3,NA
NUDT4,NA
NUDT9,NA
NUP188,NA
NUP210,NA
NUP62,NA
NUTF2,NA
NWD1,NA
NWD2,NA
NYAP1,NA
OAS3,NA
ODF2,NA
ODF2L,NA
ODZ4,NA
OGFR,NA
OLFR1458,NA
OMP,NA
OPRD1,NA
OPTN,NA
ORMDL2,NA
ORMDL3,NA
OSBP,NA
OSBP2,NA
OSBPL6,NA
OSTF1,NA
OTUD7A,NA
OTUD7B,NA
OXSR1,NA
P140,NA
P2RX2,NA
P2RX4,NA
P2RX6,NA
P2RY1,NA
P2RY12,NA
P3H3,NA
PABPC1L2A,NA
PABPN1,NA
PAG1,NA
PAIP1,NA
PAK3,NA
PAK5,NA
PAK6,NA
PAN2,NA
PANX2,NA
PARP14,NA
PATJ,NA
PAX6,NA
PCBP3,NA
PCCB,NA
PCDH10,NA
PCDH19,NA
PCDH7,NA
PCDH8,NA
PCDHB6,NA
PCDHGA4,NA
PCDHGC5,NA
PCM1,NA
PCNX,NA
PCNX2,NA
PCNX3,NA
PCP4,NA
PCTK3,NA
PCX,NA
PCYOX1,NA
PCYT2,NA
PDAP1,NA
PDCD10,NA
PDCD11,NA
PDCD5,NA
PDDC1,NA
PDE11A,NA
PDE4DIP,NA
PDGFRA,NA
PDIA4,NA
PDLIM7,NA
PDS5B,NA
PDZD11,NA
PDZD2,NA
PDZRN3,NA
PEA15A,NA
PEAK1,NA
PEF1,NA
PEG3,NA
PEPD,NA
PER3,NA
PES1,NA
PEX5,NA
PFDN5,NA
PFKFB2,NA
PGAM2,NA
PGLS,NA
PGM1,NA
PGM2,NA
PGM3,NA
PHEX,NA
PIGU,NA
PIK3CA,NA
PIK3CB,NA
PIK3CG,NA
PIK3R1,NA
PIP4P2,NA
PISD,NA
PITPNB,NA
PJA1,NA
PKHD1L1,NA
PKLR,NA
PKN2,NA
PKN3,NA
PKP1,NA
PLA2G4A,NA
PLA2G6,NA
PLB1,NA
PLCG2,NA
PLCL2,NA
PLCXD3,NA
PLD2,NA
PLEC1,NA
PLEK,NA
PLEKHA7,NA
PLEKHH1,NA
PLEKHH3,NA
PLEKHM1,NA
PLGRKT,NA
PLK2,NA
PLPBP,NA
PLPP6,NA
PLPPR1,NA
PLPPR3,NA
PLSCR3,NA
PLXNB3,NA
PMCH,NA
PMFBP1,NA
PMPCB,NA
PNMA5,NA
PNP,NA
PNPLA8,NA
POGLUT1,NA
POLE,NA
POLR1A,NA
POLR1B,NA
POLR2A,NA
POLR2B,NA
POLR2H,NA
POLRMT,NA
POMGNT1,NA
POMGNT2,NA
POP4,NA
POU4F3,NA
PPA1,NA
PPA2,NA
PPM1A,NA
PPOX,NA
PPP1R12B,NA
PPP1R13B,NA
PPP1R16B,NA
PPP1R1B,NA
PPP1R26,NA
PPP2R1B,NA
PPP2R5A,NA
PPP4C,NA
PPP4R4,NA
PPP6R1,NA
PPT1,NA
PRDM16,NA
PRDX4,NA
PRELP,NA
PREX2,NA
PRICKLE1,NA
PRKAA1,NA
PRKAB2,NA
PRKCQ,NA
PRKN,NA
PRKX,NA
PROSER2,NA
PROX1,NA
PRPF19,NA
PRPF40A,NA
PRPF4B,NA
PRPS1L1,NA
PRPS1L3,NA
PRPSAP1,NA
PRRC2A,NA
PRRC2C,NA
PRX,NA
PSD4,NA
PSEN1,NA
PSMA1,NA
PSMA8,NA
PSMB1,NA
PSMB2,NA
PSMB3,NA
PSMB4,NA
PSMB5,NA
PSMB7,NA
PSMC5,NA
PSMD10,NA
PSMD9,NA
PSME1,NA
PSME4,NA
PSPH,NA
PTBP1,NA
PTBP2,NA
PTCH1,NA
PTEN,NA
PTGDS,NA
PTGFRN,NA
PTGR2,NA
PTK7,NA
PTN,NA
PTP4A2,NA
PTPMT1,NA
PTPRB,NA
PTPRG,NA
PTPRO,NA
PTRF,NA
PTRH2,NA
PTRHD1,NA
PUM1,NA
PUM3,NA
PVALB,NA
PVRL1,NA
PXDC1,NA
PXK,NA
PYCR2,NA
PYCR3,NA
PYGL,NA
QSOX2,NA
RAB11A,NA
RAB11FIP1,NA
RAB33A,NA
RAB37,NA
RAB43,NA
RAB9A,NA
RABGAP1,NA
RABGGTB,NA
RABL6,NA
RAC2,NA
RAD23B,NA
RADIL,NA
RAE1,NA
RAF1,NA
RALB,NA
RALGAPA1,NA
RALY,NA
RANBP2,NA
RASA2,NA
RASAL3,NA
RASGRP1,NA
RASGRP2,NA
RASL2-9,NA
RB1CC1,NA
RBBP4,NA
RBBP7,NA
RBBP9,NA
RBFOX1,NA
RBFOX3,NA
RBM20,NA
RBM39,NA
RBM8,NA
RBM8A,NA
RBM8A2,NA
RDH13,NA
REEP1,NA
RELL2,NA
RELN,NA
RER1,NA
RETSAT,NA
REXO1,NA
RGS19,NA
RGS20,NA
RGS8,NA
RGS9,NA
RHBDD2,NA
RHBDF1,NA
RHBDL1,NA
RIC1,NA
RICTOR,NA
RIF1,NA
RILP,NA
RIMBP3,NA
RIMS4,NA
RIOX1,NA
RIPOR1,NA
RMDN1,NA
RMND1,NA
RNASEL,NA
RNF10,NA
RNF11,NA
RNF112,NA
RNF123,NA
RNF14,NA
RNF17,NA
RNF20,NA
RNF213,NA
RNPS1,NA
ROBO2,NA
ROMO1,NA
RP1,NA
RP1L1,NA
RPGRIP1,NA
RPGRIP1L,NA
RPL10-PS3,NA
RPL10L,NA
RPL22L1,NA
RPL6L,NA
RPP14,NA
RPRD2,NA
RPS27L,NA
RPS6KA1,NA
RPS6KA3,NA
RPS6KA4,NA
RPS6KB1,NA
RRAGA,NA
RRAGC,NA
RRAS,NA
RRM1,NA
RSPRY1,NA
RSU1,NA
RTN4R,NA
RTP2,NA
RTRAF,NA
RTTN,NA
RUNDC3A,NA
RYR1,NA
RYR3,NA
S100A14,NA
S100A4,NA
S100A5,NA
S100A8,NA
SAFB,NA
SAFB2,NA
SAMD14,NA
SAR1B,NA
SARAF,NA
SARM1,NA
SARNP,NA
SARS2,NA
SART3,NA
SBDS,NA
SBNO2,NA
SCAMP2,NA
SCAMP4,NA
SCARB2,NA
SCFD2,NA
SCLT1,NA
SCN10A,NA
SCN11A,NA
SCN2A1,NA
SCN3B,NA
SCN8A,NA
SCN9A,NA
SCRN3,NA
SCYL1,NA
SCYL2,NA
SDC3,NA
SDF2,NA
SDF2L1,NA
SDF4,NA
SDHC,NA
