postsyn_consensus_list,presyn_consensus,ER_consensus,Golgi_consensus,mito_consensus,cytoskeleton_consensus,cytoplasm_consensus,nucleus_consensus
RAB39B,NA,NA,NA,NA,NA,NA,GTF3C3
RAB4B,NA,NA,NA,NA,NA,NA,GTF3C6
RAB5A,NA,NA,NA,NA,NA,NA,H1FX
RAB5B,NA,NA,NA,NA,NA,NA,H3F3A
RAB6B,NA,NA,NA,NA,NA,NA,H3F3B
RAB8A,NA,NA,NA,NA,NA,NA,HAND2
RAB8B,NA,NA,NA,NA,NA,NA,HAT1
RABEP1,NA,NA,NA,NA,NA,NA,HAVCR2
RAN,NA,NA,NA,NA,NA,NA,HBP1
RAP2A,NA,NA,NA,NA,NA,NA,HCFC1R1
RAP2C,NA,NA,NA,NA,NA,NA,HCFC2
RDH14,NA,NA,NA,NA,NA,NA,HDAC10
RFTN1,NA,NA,NA,NA,NA,NA,HDAC2
RGS7BP,NA,NA,NA,NA,NA,NA,HDAC3
RHEB,NA,NA,NA,NA,NA,NA,HDAC5
RIN1,NA,NA,NA,NA,NA,NA,HDAC6
RNH1,NA,NA,NA,NA,NA,NA,HDAC8
RPH3A,NA,NA,NA,NA,NA,NA,HDAC9
RPL10,NA,NA,NA,NA,NA,NA,HDGF
RPL17,NA,NA,NA,NA,NA,NA,HDGFL3
RPL26,NA,NA,NA,NA,NA,NA,HEATR1
RPL28,NA,NA,NA,NA,NA,NA,HELZ
RPL36,NA,NA,NA,NA,NA,NA,HES1
RPS10,NA,NA,NA,NA,NA,NA,HES5
RPS15A,NA,NA,NA,NA,NA,NA,HES6
RPS27,NA,NA,NA,NA,NA,NA,HES7
RPS4X,NA,NA,NA,NA,NA,NA,HESX1
RPS7,NA,NA,NA,NA,NA,NA,HEXDC
RPS9,NA,NA,NA,NA,NA,NA,HEXIM1
RRBP1,NA,NA,NA,NA,NA,NA,HEXIM2
SACS,NA,NA,NA,NA,NA,NA,HEY1
SAR1A,NA,NA,NA,NA,NA,NA,HEY2
SCAI,NA,NA,NA,NA,NA,NA,HHEX
SDHA,NA,NA,NA,NA,NA,NA,HHIP
SEC13,NA,NA,NA,NA,NA,NA,HIC2
SEC24C,NA,NA,NA,NA,NA,NA,HIF1A
SEC31A,NA,NA,NA,NA,NA,NA,HIF1AN
SEPT4,NA,NA,NA,NA,NA,NA,HINFP
SESTD1,NA,NA,NA,NA,NA,NA,HINT3
SGSM1,NA,NA,NA,NA,NA,NA,HIPK2
SH3BGRL2,NA,NA,NA,NA,NA,NA,HIRIP3
SHISA7,NA,NA,NA,NA,NA,NA,HIST1H1A
SIRPA,NA,NA,NA,NA,NA,NA,HIST1H1D
SIRT2,NA,NA,NA,NA,NA,NA,HIST1H2AE
SLC25A1,NA,NA,NA,NA,NA,NA,HIST1H2AH
SLC25A18,NA,NA,NA,NA,NA,NA,HIST1H2BB
SLC25A31,NA,NA,NA,NA,NA,NA,HIST1H2BC
SLC25A46,NA,NA,NA,NA,NA,NA,HIST1H2BE
SLC25A6,NA,NA,NA,NA,NA,NA,HIST1H2BF
SNPH,NA,NA,NA,NA,NA,NA,HIST1H2BG
SNX12,NA,NA,NA,NA,NA,NA,HIST1H2BH
SNX2,NA,NA,NA,NA,NA,NA,HIST1H2BJ
SNX3,NA,NA,NA,NA,NA,NA,HIST1H2BK
SOGA3,NA,NA,NA,NA,NA,NA,HIST1H2BL
SRGAP2,NA,NA,NA,NA,NA,NA,HIST1H2BN
STAT1,NA,NA,NA,NA,NA,NA,HIST1H3B
STOM,NA,NA,NA,NA,NA,NA,HIST1H3C
STXBP3,NA,NA,NA,NA,NA,NA,HIST1H3D
SYNGR1,NA,NA,NA,NA,NA,NA,HIST1H3E
SYNM,NA,NA,NA,NA,NA,NA,HIST1H3F
SYT2,NA,NA,NA,NA,NA,NA,HIST1H4B
TALDO1,NA,NA,NA,NA,NA,NA,HIST1H4C
TANC2,NA,NA,NA,NA,NA,NA,HIST1H4D
TAOK2,NA,NA,NA,NA,NA,NA,HIST1H4F
TBC1D10B,NA,NA,NA,NA,NA,NA,HIST1H4H
TLN1,NA,NA,NA,NA,NA,NA,HIST1H4I
TMOD1,NA,NA,NA,NA,NA,NA,HIST1H4J
TNIK,NA,NA,NA,NA,NA,NA,HIST1H4K
TOLLIP,NA,NA,NA,NA,NA,NA,HIST1H4M
TOMM34,NA,NA,NA,NA,NA,NA,HIST1H4N
TPM4,NA,NA,NA,NA,NA,NA,HIST2H2BE
TRAF3,NA,NA,NA,NA,NA,NA,HIST2H3B
TRAPPC11,NA,NA,NA,NA,NA,NA,HIST2H3C1
TRIM9,NA,NA,NA,NA,NA,NA,HIST2H3C2
TTC37,NA,NA,NA,NA,NA,NA,HIST2H4
TUBA1B,NA,NA,NA,NA,NA,NA,HIVEP1
TUBB4B,NA,NA,NA,NA,NA,NA,HIVEP2
TWF1,NA,NA,NA,NA,NA,NA,HIVEP3
TWF2,NA,NA,NA,NA,NA,NA,HJURP
UBE2M,NA,NA,NA,NA,NA,NA,HLF
UBE2V2,NA,NA,NA,NA,NA,NA,HLX
UBXN6,NA,NA,NA,NA,NA,NA,HMBOX1
UGP2,NA,NA,NA,NA,NA,NA,HMG20B
UQCRB,NA,NA,NA,NA,NA,NA,HMGA1B
UQCRH,NA,NA,NA,NA,NA,NA,HMGN3
USMG5,NA,NA,NA,NA,NA,NA,HMX3
VAT1,NA,NA,NA,NA,NA,NA,HNF1A
VCL,NA,NA,NA,NA,NA,NA,HNF1B
VPS18,NA,NA,NA,NA,NA,NA,HNF4A
VPS26B,NA,NA,NA,NA,NA,NA,HNF4G
VPS51,NA,NA,NA,NA,NA,NA,HNRNPDL
WDR48,NA,NA,NA,NA,NA,NA,HNRNPH3
WFS1,NA,NA,NA,NA,NA,NA,HNRNPUL1
YARS,NA,NA,NA,NA,NA,NA,HOMEZ
YARS2,NA,NA,NA,NA,NA,NA,HOXA10
AASDHPPT,NA,NA,NA,NA,NA,NA,HOXA11
ABAT,NA,NA,NA,NA,NA,NA,HOXA13
ABHD12,NA,NA,NA,NA,NA,NA,HOXA2
ABHD17B,NA,NA,NA,NA,NA,NA,HOXA3
ABHD6,NA,NA,NA,NA,NA,NA,HOXA4
ABLIM3,NA,NA,NA,NA,NA,NA,HOXA7
ACAA1,NA,NA,NA,NA,NA,NA,HOXA9
ACAA2,NA,NA,NA,NA,NA,NA,HOXB13
ACAD9,NA,NA,NA,NA,NA,NA,HOXB2
ACADSB,NA,NA,NA,NA,NA,NA,HOXB3
ACOT8,NA,NA,NA,NA,NA,NA,HOXB4
ACP1,NA,NA,NA,NA,NA,NA,HOXB5
ACTA1,NA,NA,NA,NA,NA,NA,HOXB7
ACTN3,NA,NA,NA,NA,NA,NA,HOXB8
ADCY2,NA,NA,NA,NA,NA,NA,HOXC10
ADCY5,NA,NA,NA,NA,NA,NA,HOXC11
ADCY8,NA,NA,NA,NA,NA,NA,HOXC4
ADGRL1,NA,NA,NA,NA,NA,NA,HOXC5
AGL,NA,NA,NA,NA,NA,NA,HOXC6
AGPAT3,NA,NA,NA,NA,NA,NA,HOXC8
AGPAT4,NA,NA,NA,NA,NA,NA,HOXC9
AGPAT5,NA,NA,NA,NA,NA,NA,HOXD1
AK4,NA,NA,NA,NA,NA,NA,HOXD10
AKAP2,NA,NA,NA,NA,NA,NA,HOXD11
AKR7A2,NA,NA,NA,NA,NA,NA,HOXD13
ALB,NA,NA,NA,NA,NA,NA,HOXD3
ALDH4A1,NA,NA,NA,NA,NA,NA,HOXD4
ALDH7A1,NA,NA,NA,NA,NA,NA,HOXD9
ALYREF,NA,NA,NA,NA,NA,NA,HPF1
ANKFY1,NA,NA,NA,NA,NA,NA,HPSE
ANKRD24,NA,NA,NA,NA,NA,NA,HR
AP3S2,NA,NA,NA,NA,NA,NA,HS6ST2
APC,NA,NA,NA,NA,NA,NA,HSBP1L1
APOL2,NA,NA,NA,NA,NA,NA,HSF1
ARFGAP3,NA,NA,NA,NA,NA,NA,HSF2
ARFGEF3,NA,NA,NA,NA,NA,NA,HSF4
ARHGAP35,NA,NA,NA,NA,NA,NA,HSPB3
ARL1,NA,NA,NA,NA,NA,NA,HSPB7
ARL15,NA,NA,NA,NA,NA,NA,HTATSF1
ARL6IP5,NA,NA,NA,NA,NA,NA,HTR2B
ARPC5L,NA,NA,NA,NA,NA,NA,HUNK
ASAP1,NA,NA,NA,NA,NA,NA,HUS1B
ASNA1,NA,NA,NA,NA,NA,NA,HYPK
ATCAY,NA,NA,NA,NA,NA,NA,IBTK
ATG2B,NA,NA,NA,NA,NA,NA,ICE1
ATP2A1,NA,NA,NA,NA,NA,NA,ICE2
ATP5E,NA,NA,NA,NA,NA,NA,ID1
ATP6AP1,NA,NA,NA,NA,NA,NA,ID2
ATP8A2,NA,NA,NA,NA,NA,NA,ID3
ATP9A,NA,NA,NA,NA,NA,NA,ID4
AUH,NA,NA,NA,NA,NA,NA,IER2
AVL9,NA,NA,NA,NA,NA,NA,IER5
BAG5,NA,NA,NA,NA,NA,NA,IFI35
BAI1,NA,NA,NA,NA,NA,NA,IGFALS
BPHL,NA,NA,NA,NA,NA,NA,IGHMBP2
BRK1,NA,NA,NA,NA,NA,NA,IKZF1
BTBD11,NA,NA,NA,NA,NA,NA,IKZF2
C1QC,NA,NA,NA,NA,NA,NA,IKZF4
C22orf28,NA,NA,NA,NA,NA,NA,IKZF5
C2CD2L,NA,NA,NA,NA,NA,NA,IL15
C2CD4C,NA,NA,NA,NA,NA,NA,IL33
C2CD5,NA,NA,NA,NA,NA,NA,INCA1
C3,NA,NA,NA,NA,NA,NA,INCENP
CA2,NA,NA,NA,NA,NA,NA,ING1
CAB39,NA,NA,NA,NA,NA,NA,ING2
CACNA1B,NA,NA,NA,NA,NA,NA,ING3
CACNA1C,NA,NA,NA,NA,NA,NA,ING4
CACNG8,NA,NA,NA,NA,NA,NA,INIP
CAD,NA,NA,NA,NA,NA,NA,INO80
CADM1,NA,NA,NA,NA,NA,NA,INO80B
CALB2,NA,NA,NA,NA,NA,NA,INO80C
CAMSAP3,NA,NA,NA,NA,NA,NA,INO80E
CAND2,NA,NA,NA,NA,NA,NA,INSM2
CAPG,NA,NA,NA,NA,NA,NA,INTS1
CAPN2,NA,NA,NA,NA,NA,NA,INTS10
CAPRIN1,NA,NA,NA,NA,NA,NA,INTS11
CAT,NA,NA,NA,NA,NA,NA,INTS5
CBR3,NA,NA,NA,NA,NA,NA,INTS7
CCDC6,NA,NA,NA,NA,NA,NA,INTS9
CCT6B,NA,NA,NA,NA,NA,NA,IP6K1
CD47,NA,NA,NA,NA,NA,NA,IP6K2
CD81,NA,NA,NA,NA,NA,NA,IP6K3
CDH4,NA,NA,NA,NA,NA,NA,IPMK
CDIPT,NA,NA,NA,NA,NA,NA,IPO11
CDK5RAP3,NA,NA,NA,NA,NA,NA,IPO8
CDS2,NA,NA,NA,NA,NA,NA,IRF1
CEP170,NA,NA,NA,NA,NA,NA,IRF2
CEP170B,NA,NA,NA,NA,NA,NA,IRF2BP1
CFL2,NA,NA,NA,NA,NA,NA,IRF2BP2
CHMP2B,NA,NA,NA,NA,NA,NA,IRF2BPL
CHMP6,NA,NA,NA,NA,NA,NA,IRF4
CKMT1B,NA,NA,NA,NA,NA,NA,IRF8
CLCN6,NA,NA,NA,NA,NA,NA,IRX2
CLDN11,NA,NA,NA,NA,NA,NA,IRX5
CLIP1,NA,NA,NA,NA,NA,NA,IRX6
CLIP3,NA,NA,NA,NA,NA,NA,ISG20
CLMN,NA,NA,NA,NA,NA,NA,ISG20L2
CLSTN1,NA,NA,NA,NA,NA,NA,ISL1
CNIH2,NA,NA,NA,NA,NA,NA,ISX
CNOT1,NA,NA,NA,NA,NA,NA,ITCH
CNR1,NA,NA,NA,NA,NA,NA,ITFG2
CNRIP1,NA,NA,NA,NA,NA,NA,ITGB3BP
COMTD1,NA,NA,NA,NA,NA,NA,ITPKB
COPB1,NA,NA,NA,NA,NA,NA,ITPKC
COQ10B,NA,NA,NA,NA,NA,NA,IWS1
CPNE2,NA,NA,NA,NA,NA,NA,JADE1
CPNE3,NA,NA,NA,NA,NA,NA,JADE2
CPNE4,NA,NA,NA,NA,NA,NA,JADE3
CSDE1,NA,NA,NA,NA,NA,NA,JAK2
CSNK1G3,NA,NA,NA,NA,NA,NA,JAZF1
CSNK2B,NA,NA,NA,NA,NA,NA,JDP2
CSPG5,NA,NA,NA,NA,NA,NA,JMJD6
CYB5R3,NA,NA,NA,NA,NA,NA,JPH1
CYP46A1,NA,NA,NA,NA,NA,NA,JRK
CYTH2,NA,NA,NA,NA,NA,NA,JUN
DAD1,NA,NA,NA,NA,NA,NA,JUNB
DAGLA,NA,NA,NA,NA,NA,NA,JUND
DCX,NA,NA,NA,NA,NA,NA,KANSL1
DDB1,NA,NA,NA,NA,NA,NA,KANSL3
DDX39B,NA,NA,NA,NA,NA,NA,KAT2B
DGKE,NA,NA,NA,NA,NA,NA,KAT5
DHRS4,NA,NA,NA,NA,NA,NA,KAT6A
DMTN,NA,NA,NA,NA,NA,NA,KAT6B
DNAJC13,NA,NA,NA,NA,NA,NA,KAT8
DOC2A,NA,NA,NA,NA,NA,NA,KCTD10
DOCK1,NA,NA,NA,NA,NA,NA,KCTD13
DOCK2,NA,NA,NA,NA,NA,NA,KDM1B
DOCK5,NA,NA,NA,NA,NA,NA,KDM2A
DRG2,NA,NA,NA,NA,NA,NA,KDM2B
DYNLT3,NA,NA,NA,NA,NA,NA,KDM3A
ECI2,NA,NA,NA,NA,NA,NA,KDM3B
EHD4,NA,NA,NA,NA,NA,NA,KDM4A
EIF2AK2,NA,NA,NA,NA,NA,NA,KDM4D
EIF4A1,NA,NA,NA,NA,NA,NA,KDM5C
EIF4E,NA,NA,NA,NA,NA,NA,KDM5D
EIF4H,NA,NA,NA,NA,NA,NA,KDM6B
EIF5A,NA,NA,NA,NA,NA,NA,KDM7A
ELFN2,NA,NA,NA,NA,NA,NA,KDM8
EMC1,NA,NA,NA,NA,NA,NA,KHDRBS3
ENAH,NA,NA,NA,NA,NA,NA,KIF23
ENDOD1,NA,NA,NA,NA,NA,NA,KLF11
ENDOG,NA,NA,NA,NA,NA,NA,KLF12
ENO3,NA,NA,NA,NA,NA,NA,KLF16
EPB49,NA,NA,NA,NA,NA,NA,KLF2
EPDR1,NA,NA,NA,NA,NA,NA,KLF3
EPN1,NA,NA,NA,NA,NA,NA,KLF6
ERBB2IP,NA,NA,NA,NA,NA,NA,KLF8
ERGIC1,NA,NA,NA,NA,NA,NA,KLF9
ERP44,NA,NA,NA,NA,NA,NA,KLHDC10
ESYT1,NA,NA,NA,NA,NA,NA,KLHDC2
ETFA,NA,NA,NA,NA,NA,NA,KLHDC3
ETFDH,NA,NA,NA,NA,NA,NA,KLHL7
EXOC6,NA,NA,NA,NA,NA,NA,KLHL8
FABP3,NA,NA,NA,NA,NA,NA,KMT2A
FAF2,NA,NA,NA,NA,NA,NA,KMT2C
FAM213A,NA,NA,NA,NA,NA,NA,KMT2D
FAM82A2,NA,NA,NA,NA,NA,NA,KPNA2
FAM98A,NA,NA,NA,NA,NA,NA,KPNA4
FDPS,NA,NA,NA,NA,NA,NA,KRI1
FGG,NA,NA,NA,NA,NA,NA,L3MBTL1
FKBP2,NA,NA,NA,NA,NA,NA,L3MBTL3
FKBP4,NA,NA,NA,NA,NA,NA,L3MBTL4
FMNL3,NA,NA,NA,NA,NA,NA,LAGE3
FMR1,NA,NA,NA,NA,NA,NA,LAS1L
FXR1,NA,NA,NA,NA,NA,NA,LBX1
G6PD,NA,NA,NA,NA,NA,NA,LBX2
GABRA2,NA,NA,NA,NA,NA,NA,LCOR
GABRB1,NA,NA,NA,NA,NA,NA,LCORL
GABRB3,NA,NA,NA,NA,NA,NA,LDB1
GAD2,NA,NA,NA,NA,NA,NA,LDB2
GARS,NA,NA,NA,NA,NA,NA,LDOC1
GDA,NA,NA,NA,NA,NA,NA,LEF1
GLOD4,NA,NA,NA,NA,NA,NA,LEMD3
GNB2L1,NA,NA,NA,NA,NA,NA,LEO1
GOLGA7B,NA,NA,NA,NA,NA,NA,LGALS3
GPM6B,NA,NA,NA,NA,NA,NA,LHX2
GRB2,NA,NA,NA,NA,NA,NA,LHX4
GRHPR,NA,NA,NA,NA,NA,NA,LHX8
GRID1,NA,NA,NA,NA,NA,NA,LHX9
GRID2,NA,NA,NA,NA,NA,NA,LIG1
GRIK5,NA,NA,NA,NA,NA,NA,LIG4
GRIP1,NA,NA,NA,NA,NA,NA,LIMD1
GRM7,NA,NA,NA,NA,NA,NA,LIMK2
GSTO1,NA,NA,NA,NA,NA,NA,LIN28B
GSTP1,NA,NA,NA,NA,NA,NA,LIN52
GUCY1A2,NA,NA,NA,NA,NA,NA,LIN9
H1F0,NA,NA,NA,NA,NA,NA,LITAF
HACD3,NA,NA,NA,NA,NA,NA,LLPH
HAPLN4,NA,NA,NA,NA,NA,NA,LMCD1
HARS,NA,NA,NA,NA,NA,NA,LMNTD1
HCK,NA,NA,NA,NA,NA,NA,LMO2
HCN1,NA,NA,NA,NA,NA,NA,LMX1A
HEPACAM,NA,NA,NA,NA,NA,NA,LMX1B
HIBCH,NA,NA,NA,NA,NA,NA,LOXL2
HIGD1A,NA,NA,NA,NA,NA,NA,LPIN1
HINT1,NA,NA,NA,NA,NA,NA,LRCH4
HIP1,NA,NA,NA,NA,NA,NA,LRIF1
HIST1H1C,NA,NA,NA,NA,NA,NA,LRRC41
HIST1H4A,NA,NA,NA,NA,NA,NA,LSM10
HMGB1,NA,NA,NA,NA,NA,NA,LSM11
HNRNPC,NA,NA,NA,NA,NA,NA,LSM2
HNRNPH1,NA,NA,NA,NA,NA,NA,LSM3
HNRNPL,NA,NA,NA,NA,NA,NA,LSM6
HNRNPU,NA,NA,NA,NA,NA,NA,LSM7
HP1BP3,NA,NA,NA,NA,NA,NA,LSM8
HPCAL1,NA,NA,NA,NA,NA,NA,LUC7L
HSD17B10,NA,NA,NA,NA,NA,NA,LUC7L2
HSD17B8,NA,NA,NA,NA,NA,NA,LYRM1
HSPA4,NA,NA,NA,NA,NA,NA,LYSMD1
HYOU1,NA,NA,NA,NA,NA,NA,MAB21L1
IARS,NA,NA,NA,NA,NA,NA,MAB21L2
IMPA1,NA,NA,NA,NA,NA,NA,MACROD2
IQGAP1,NA,NA,NA,NA,NA,NA,MAD2L1
IST1,NA,NA,NA,NA,NA,NA,MAD2L1BP
ITFG1,NA,NA,NA,NA,NA,NA,MAEA
ITM2B,NA,NA,NA,NA,NA,NA,MAF1
ITSN2,NA,NA,NA,NA,NA,NA,MAFB
KCND2,NA,NA,NA,NA,NA,NA,MAFF
KCNJ4,NA,NA,NA,NA,NA,NA,MAFG
KCNMA1,NA,NA,NA,NA,NA,NA,MAFK
KCTD8,NA,NA,NA,NA,NA,NA,MAGEA10
KHDRBS1,NA,NA,NA,NA,NA,NA,MAGEA4
KIAA0196,NA,NA,NA,NA,NA,NA,MAGI1
KIAA0284,NA,NA,NA,NA,NA,NA,MALT1
KIAA0408,NA,NA,NA,NA,NA,NA,MAML1
KIAA1033,NA,NA,NA,NA,NA,NA,MAML2
KIAA1045,NA,NA,NA,NA,NA,NA,MAML3
KIAA1598,NA,NA,NA,NA,NA,NA,MAMLD1
KIF20B,NA,NA,NA,NA,NA,NA,MAMSTR
KPNA3,NA,NA,NA,NA,NA,NA,MAN2C1
KRT1,NA,NA,NA,NA,NA,NA,MAPK12
KRT2,NA,NA,NA,NA,NA,NA,MAPK13
KRT5,NA,NA,NA,NA,NA,NA,MAPK14
KRT6A,NA,NA,NA,NA,NA,NA,MAPK15
LACTB,NA,NA,NA,NA,NA,NA,MAPK7
LANCL1,NA,NA,NA,NA,NA,NA,MAPKAP1
LAP3,NA,NA,NA,NA,NA,NA,MAPKAPK2
LIPE,NA,NA,NA,NA,NA,NA,MAPKAPK3
LMNA,NA,NA,NA,NA,NA,NA,MAPKBP1
LMNB1,NA,NA,NA,NA,NA,NA,MASTL
LMO7,NA,NA,NA,NA,NA,NA,MAU2
LMTK2,NA,NA,NA,NA,NA,NA,MAZ
LMTK3,NA,NA,NA,NA,NA,NA,MBD1
LRFN2,NA,NA,NA,NA,NA,NA,MBD2
LRPAP1,NA,NA,NA,NA,NA,NA,MBD4
LRRC40,NA,NA,NA,NA,NA,NA,MBD5
LRRC4B,NA,NA,NA,NA,NA,NA,MBD6
LRRTM1,NA,NA,NA,NA,NA,NA,MBNL1
LRRTM2,NA,NA,NA,NA,NA,NA,MBNL2
LRRTM4,NA,NA,NA,NA,NA,NA,MBTD1
LRSAM1,NA,NA,NA,NA,NA,NA,MCC
LYNX1,NA,NA,NA,NA,NA,NA,MCIDAS
LZTS3,NA,NA,NA,NA,NA,NA,MCM10
MAP1LC3B,NA,NA,NA,NA,NA,NA,MCM2
MAP2K4,NA,NA,NA,NA,NA,NA,MCM3
MAPRE1,NA,NA,NA,NA,NA,NA,MCM4
MAST1,NA,NA,NA,NA,NA,NA,MCM5
MATR3,NA,NA,NA,NA,NA,NA,MCM6
MGST3,NA,NA,NA,NA,NA,NA,MCM7
MICU3,NA,NA,NA,NA,NA,NA,MCM8
MIF,NA,NA,NA,NA,NA,NA,MCM9
MLC1,NA,NA,NA,NA,NA,NA,MCMBP
MOBP,NA,NA,NA,NA,NA,NA,MDC1
MOSC2,NA,NA,NA,NA,NA,NA,MDFI
MPC2,NA,NA,NA,NA,NA,NA,MDFIC
MPP3,NA,NA,NA,NA,NA,NA,MDM2
MRPS22,NA,NA,NA,NA,NA,NA,MDM4
MSN,NA,NA,NA,NA,NA,NA,MECOM
MT-ATP8,NA,NA,NA,NA,NA,NA,MED1
MT-ND4,NA,NA,NA,NA,NA,NA,MED11
MT-ND5,NA,NA,NA,NA,NA,NA,MED12L
MTFR1L,NA,NA,NA,NA,NA,NA,MED13
MTMR2,NA,NA,NA,NA,NA,NA,MED13L
MTOR,NA,NA,NA,NA,NA,NA,MED14
MVP,NA,NA,NA,NA,NA,NA,MED16
MYADM,NA,NA,NA,NA,NA,NA,MED17
NACA,NA,NA,NA,NA,NA,NA,MED18
NAP1L1,NA,NA,NA,NA,NA,NA,MED19
NARS,NA,NA,NA,NA,NA,NA,MED21
NCL,NA,NA,NA,NA,NA,NA,MED22
NCLN,NA,NA,NA,NA,NA,NA,MED23
NDEL1,NA,NA,NA,NA,NA,NA,MED25
NDUFA6,NA,NA,NA,NA,NA,NA,MED26
NDUFAB1,NA,NA,NA,NA,NA,NA,MED28
NDUFB11,NA,NA,NA,NA,NA,NA,MED29
NDUFB3,NA,NA,NA,NA,NA,NA,MED30
NDUFB5,NA,NA,NA,NA,NA,NA,MED31
NDUFS5,NA,NA,NA,NA,NA,NA,MED4
NEO1,NA,NA,NA,NA,NA,NA,MED6
NETO1,NA,NA,NA,NA,NA,NA,MED7
NFU1,NA,NA,NA,NA,NA,NA,MED9
NLGN1,NA,NA,NA,NA,NA,NA,MEF2A
NME2,NA,NA,NA,NA,NA,NA,MEF2C
NNT,NA,NA,NA,NA,NA,NA,MEF2D
NRAS,NA,NA,NA,NA,NA,NA,MEIOB
NRN1,NA,NA,NA,NA,NA,NA,MEIS1
NT5E,NA,NA,NA,NA,NA,NA,MEIS2
NTRK3,NA,NA,NA,NA,NA,NA,MEIS3
NUDCD2,NA,NA,NA,NA,NA,NA,MEN1
OCIAD1,NA,NA,NA,NA,NA,NA,MESP1
OCIAD2,NA,NA,NA,NA,NA,NA,METTL1
OLFM2,NA,NA,NA,NA,NA,NA,METTL14
OSBPL8,NA,NA,NA,NA,NA,NA,METTL16
P4HB,NA,NA,NA,NA,NA,NA,METTL22
PACSIN2,NA,NA,NA,NA,NA,NA,MFSD8
PARP1,NA,NA,NA,NA,NA,NA,MGMT
PCSK1N,NA,NA,NA,NA,NA,NA,MGST2
PDCD6,NA,NA,NA,NA,NA,NA,MICAL3
PDE10A,NA,NA,NA,NA,NA,NA,MIDN
PDE1A,NA,NA,NA,NA,NA,NA,MIER1
PDE1B,NA,NA,NA,NA,NA,NA,MIER2
PDE4B,NA,NA,NA,NA,NA,NA,MIER3
PDLIM5,NA,NA,NA,NA,NA,NA,MIOS
PDXP,NA,NA,NA,NA,NA,NA,MIXL1
PGD,NA,NA,NA,NA,NA,NA,MKNK1
PHLDB1,NA,NA,NA,NA,NA,NA,MKNK2
PHYHIPL,NA,NA,NA,NA,NA,NA,MKX
PI4K2A,NA,NA,NA,NA,NA,NA,MLF1
PICK1,NA,NA,NA,NA,NA,NA,MLH1
PIK3C3,NA,NA,NA,NA,NA,NA,MLH3
PIK3R4,NA,NA,NA,NA,NA,NA,MLIP
PITPNM2,NA,NA,NA,NA,NA,NA,MLLT1
PLAA,NA,NA,NA,NA,NA,NA,MLLT10
PLCD1,NA,NA,NA,NA,NA,NA,MLLT3
PLEC,NA,NA,NA,NA,NA,NA,MLX
PLEKHA1,NA,NA,NA,NA,NA,NA,MLXIPL
PLLP,NA,NA,NA,NA,NA,NA,MMS22L
PLPP3,NA,NA,NA,NA,NA,NA,MNAT1
PLPPR4,NA,NA,NA,NA,NA,NA,MND1
PLXNA3,NA,NA,NA,NA,NA,NA,MNS1
PLXNC1,NA,NA,NA,NA,NA,NA,MNX1
PLXND1,NA,NA,NA,NA,NA,NA,MOAP1
PMM1,NA,NA,NA,NA,NA,NA,MOB2
PPID,NA,NA,NA,NA,NA,NA,MORC2A
PPM1H,NA,NA,NA,NA,NA,NA,MORC3
PPP2R2A,NA,NA,NA,NA,NA,NA,MORC4
PPP2R5E,NA,NA,NA,NA,NA,NA,MORF4L2
PPP5C,NA,NA,NA,NA,NA,NA,MORN2
PPP6C,NA,NA,NA,NA,NA,NA,MOSPD1
PREB,NA,NA,NA,NA,NA,NA,MPLKIP
PRICKLE2,NA,NA,NA,NA,NA,NA,MRFAP1
PRKAR1B,NA,NA,NA,NA,NA,NA,MRGBP
PRKCD,NA,NA,NA,NA,NA,NA,MRGPRF
PRMT5,NA,NA,NA,NA,NA,NA,MSANTD4
PRPF8,NA,NA,NA,NA,NA,NA,MSC
PRUNE2,NA,NA,NA,NA,NA,NA,MSH2
PSAP,NA,NA,NA,NA,NA,NA,MSH3
PSMA4,NA,NA,NA,NA,NA,NA,MSH6
PSMB6,NA,NA,NA,NA,NA,NA,MSL1
PSMC4,NA,NA,NA,NA,NA,NA,MSL3
PSMD1,NA,NA,NA,NA,NA,NA,MSRB1
PSMD12,NA,NA,NA,NA,NA,NA,MSX1
PSMD4,NA,NA,NA,NA,NA,NA,MSX2
PSMD6,NA,NA,NA,NA,NA,NA,MTF1
PSMD7,NA,NA,NA,NA,NA,NA,MTF2
PSMD8,NA,NA,NA,NA,NA,NA,MTREX
PTGES2,NA,NA,NA,NA,NA,NA,MUS81
PTPLAD1,NA,NA,NA,NA,NA,NA,MUTYH
PTPN5,NA,NA,NA,NA,NA,NA,MVB12A
PTPRE,NA,NA,NA,NA,NA,NA,MX1
PTPRN2,NA,NA,NA,NA,NA,NA,MXD3
PYCRL,NA,NA,NA,NA,NA,NA,MXI1
QARS,NA,NA,NA,NA,NA,NA,MXRA8
RAB13,NA,NA,NA,NA,NA,NA,MYB
RAB15,NA,NA,NA,NA,NA,NA,MYBL1
RAB33B,NA,NA,NA,NA,NA,NA,MYC
RAB3B,NA,NA,NA,NA,NA,NA,MYCL
RAB7A,NA,NA,NA,NA,NA,NA,MYCN
RACK1,NA,NA,NA,NA,NA,NA,MYF5
RAP2B,NA,NA,NA,NA,NA,NA,MYNN
RCN2,NA,NA,NA,NA,NA,NA,MYOD1
RDH11,NA,NA,NA,NA,NA,NA,MYOG
RDX,NA,NA,NA,NA,NA,NA,MYPN
REEP5,NA,NA,NA,NA,NA,NA,MYPOP
